X,Y,OBJECTID,ID,TRAEGER,LEISTUNGEN,BEZEICHNUNG,KURZBEZEICHNUNG,STRASSE,PLZ,ORT,TELEFON,EMAIL,FAX
12.9399234062508,50.8158443616826,30,30,KINDERVEREINIGUNG Chemnitz e. V.,Schulsozialarbeit,,,Augsburger Straße 32,09126,Chemnitz,0163 7027853,,0371 5212865
12.9421690561178,50.8159174147348,31,31,KINDERVEREINIGUNG Chemnitz e. V.,Schulsozialarbeit,,,Bernsdorfer Straße 126,09126,Chemnitz,"0152 29997591
0371 4027854
",,0371 5212865
12.9249146500484,50.8434122247297,32,32,"Kinder-, Jugend- und Familienhilfe e. V. Chemnitz",Schulsozialarbeit,,,Brühl 59,09111,Chemnitz,0371 4714117   0371 49502100,,0371 49502128
12.9013451596457,50.8178100083381,33,33,solaris Förderzentrum für Jugend & Umwelt gGmbH Sachsen,Schulsozialarbeit,,,Haydnstraße 21,09119,Chemnitz,0371 3691615,,0371 3685501
12.9305215412994,50.8304238615326,34,34,Arbeiterwohlfahrt Soziale Dienste Chemnitz und Umgebung gGmbH    ,Schulsozialarbeit,,,Park der Opfer des Faschismus 2,09111,Chemnitz,0173 5171658         0371 6956182,,0371 6956105
12.937251881947,50.8029705326177,35,35,KINDERVEREINIGUNG Chemnitz e. V.,Schulsozialarbeit,,,Reichenhainer Straße 206,09125,Chemnitz,"
0152 299 975 85     0371 4027854",,0371 5212865
12.9156510937022,50.8383383631828,36,36,Regenbogenbus e. V. ,Schulsozialarbeit,,,Schloßstraße 3,09111,Chemnitz,"0371 488-8049
0159 06501248 037200 88291",,0372 0081725
12.9110148524672,50.7993813312941,37,37,Selbsthilfe Wohnprojekt Further Straße e. V.,Schulsozialarbeit,,,Schulstraße 2,09125,Chemnitz,"
01577 637 2127
0179 439 3809
",,
12.91265888046,50.8239270383139,38,38,Förderverein Chemnitzer Schulmodell e. V.,Schulsozialarbeit,,,Stollberger Straße 25,09119,Chemnitz,0371 69576486,,
12.936586997522,50.802884141863,39,39,KINDERVEREINIGUNG Chemnitz e. V.,Schulsozialarbeit,,,Reichenhainer Straße 210,09125,Chemnitz,0152 299 975 93,,0371 5212865
12.9488765826542,50.8527261988194,40,40,F+U Sachsen gGmbH     ,Schulsozialarbeit,,,Ludwig-Richter-Straße 19,09131,Chemnitz,0174 918 0871,,
12.9397707592911,50.841262725248,41,41,Don Bosco Sachsen,Schulsozialarbeit,,,Reinhardtstraße 6,09130,Chemnitz,"03724 600
0151 70388891
",,03724 60910
12.954409907451,50.8394367197235,42,42,Regenbogenbus e. V. ,Schulsozialarbeit,,,Heinrich-Schütz-Straße 61,09130,Chemnitz,0371 39893012,,
12.9480600569853,50.8353511594525,43,43,"Kinder-, Jugend- und Familienhilfe e. V. Chemnitz",Schulsozialarbeit,,,Humboldtplatz 1,09130,Chemnitz,0371 39892836,,
12.9412264741818,50.8364972682956,44,44,Don Bosco Sachsen,Schulsozialarbeit,,,Ludwig-Kirsch-Straße 27,09130,Chemnitz,0175 7015847,,0371 43316270
12.9412264741818,50.8364972682956,45,45,Don Bosco Sachsen,Schulsozialarbeit,,,Ludwig-Kirsch-Straße 27,09130,Chemnitz,"0371 43316013
0175 701 4956
0171 566 0262
",,0371 43316270
12.9386579069539,50.8372324492807,46,46,Stadtmission Chemnitz e. V.,Schulsozialarbeit,,,Tschaikowskistraße 49,09130,Chemnitz,"0371 4331970
0175 2218432",,
12.9353668964667,50.8358567671611,47,47,Don Bosco Sachsen,Schulsozialarbeit,,,Uhlandstraße 2,09130,Chemnitz,0171 5660262,,0371 43316270
12.9665728167273,50.8316116358909,48,48,Regenbogenbus e. V. ,Schulsozialarbeit,,,Ernst-Moritz-Arndt-Straße 1a,09130,Chemnitz,0176 45992551,,
12.9527862375367,50.8310069733292,49,49,Stadtmission Chemnitz e. V.,Schulsozialarbeit,,,Adelsbergstraße 90,09126,Chemnitz,"0371  52039891
0177 9140042",,
12.9629177798337,50.8319919787425,50,50,Verein zur Beruflichen Förderung und Ausbildung e. V. (VBFA),Schulsozialarbeit,,,Ernst-Moritz-Arndt-Straße 4,09130,Chemnitz,"0371 722139
0174 5173621",,
12.9544779086957,50.8196174538935,51,51,KINDERVEREINIGUNG Chemnitz e. V.,Schulsozialarbeit,,,Kreherstraße 101,09127,Chemnitz,0163 7027852,,
